year,Industry,Nacerev,MNE_profit_shifting
2016,A,210,0.072
2017,A,210,0.052
2018,A,210,0.029
2019,A,210,0.021
2020,A,210,0.035
2009,A,220,0.0
2010,A,220,0.021
2011,A,220,0.016
2012,A,220,0.0
2013,A,220,0.0
2014,A,220,0.0
2015,A,220,0.0
2016,A,220,0.0
2017,A,220,0.001
2018,A,220,0.0
2019,A,220,0.0
2020,A,220,0.0
2017,A,240,0.0
2018,A,240,0.0
2019,A,240,0.0
2020,A,240,0.0
2009,A,311,0.003
2010,A,311,0.005
2011,A,311,0.013
2012,A,311,0.013
2013,A,311,0.018
2014,A,311,0.013
2015,A,311,0.019
2016,A,311,0.021
2017,A,311,0.026
2018,A,311,0.017
2019,A,311,0.007
2020,A,311,0.012
2009,A,321,0.073
2010,A,321,0.294
2011,A,321,0.105
2012,A,321,0.02
2013,A,321,0.19
2014,A,321,0.111
2015,A,321,0.085
2016,A,321,0.345
2017,A,321,0.113
2018,A,321,0.144
2019,A,321,0.098
2020,A,321,0.02
2010,A,322,0.0
2013,A,322,0.0
2014,A,322,0.0
2015,A,322,0.0
2009,B,510,3.14
2010,B,510,5.587
2011,B,510,7.53
2012,B,510,7.261
2013,B,510,8.309
2014,B,510,4.488
2015,B,510,1.933
2016,B,510,0.001
2017,B,510,3.479
2018,B,510,1.802
2019,B,510,2.53
2020,B,510,0.77
2009,B,520,0.149
2010,B,520,0.338
2011,B,520,0.309
2017,B,520,0.026
2018,B,520,0.148
2019,B,520,0.01
2009,B,610,21.104
2010,B,610,28.51
2011,B,610,39.994
2012,B,610,36.815
2013,B,610,29.118
2014,B,610,20.869
2015,B,610,7.556
2016,B,610,8.779
2017,B,610,19.721
2018,B,610,23.018
2019,B,610,10.919
2020,B,610,0.88
2011,B,620,0.038
2012,B,620,0.088
2013,B,620,0.011
2015,B,620,0.003
2016,B,620,0.006
2017,B,620,0.005
2018,B,620,0.007
2019,B,620,0.013
2020,B,620,0.004
2009,B,710,0.387
2010,B,710,1.605
2011,B,710,0.822
2012,B,710,0.305
2013,B,710,0.625
2015,B,710,0.0
2016,B,710,0.721
2017,B,710,1.397
2018,B,710,1.274
2019,B,710,1.329
2020,B,710,1.29
2013,B,721,0.03
2014,B,721,0.001
2019,B,721,0.02
2009,B,729,5.095
2010,B,729,8.905
2011,B,729,11.096
2012,B,729,4.967
2013,B,729,3.35
2014,B,729,3.816
2015,B,729,1.272
2016,B,729,2.103
2017,B,729,5.303
2018,B,729,3.272
2019,B,729,3.278
2020,B,729,2.335
2009,B,811,0.001
2010,B,811,0.002
2011,B,811,0.003
2012,B,811,0.002
2013,B,811,0.0
2014,B,811,0.108
2015,B,811,0.002
2016,B,811,0.002
2017,B,811,0.015
2018,B,811,0.001
2019,B,811,0.001
2020,B,811,0.001
2009,B,812,0.045
2010,B,812,0.067
2011,B,812,0.11
2012,B,812,0.088
2013,B,812,0.077
2014,B,812,0.094
2015,B,812,0.01
2016,B,812,0.011
2017,B,812,0.051
2018,B,812,0.01
2019,B,812,0.006
2020,B,812,0.024
2009,B,891,0.087
2010,B,891,0.256
2011,B,891,0.298
2012,B,891,0.292
2013,B,891,0.192
2014,B,891,0.172
2015,B,891,0.235
2016,B,891,0.28
2017,B,891,0.143
2018,B,891,0.027
2019,B,891,0.119
2020,B,891,0.182
2009,B,892,0.001
2010,B,892,0.002
2011,B,892,0.002
2012,B,892,0.001
2013,B,892,0.001
2014,B,892,0.002
2015,B,892,0.002
2016,B,892,0.002
2017,B,892,0.003
2018,B,892,0.002
2019,B,892,0.001
2020,B,892,0.001
2009,B,893,0.045
2010,B,893,0.052
2011,B,893,0.183
2012,B,893,0.159
2013,B,893,0.057
2014,B,893,0.098
2015,B,893,0.086
2016,B,893,1.035
2017,B,893,0.041
2018,B,893,0.024
2019,B,893,0.016
2020,B,893,0.015
2009,B,899,0.324
2010,B,899,0.645
2011,B,899,0.755
2012,B,899,0.406
2013,B,899,0.16
2014,B,899,1.131
2015,B,899,0.152
2016,B,899,0.559
2017,B,899,2.089
2018,B,899,1.18
2019,B,899,0.048
2020,B,899,0.113
2009,B,910,7.29
2010,B,910,8.617
2011,B,910,10.383
2012,B,910,13.352
2013,B,910,11.105
2014,B,910,12.334
2015,B,910,4.184
2016,B,910,2.549
2017,B,910,8.252
2018,B,910,3.827
2019,B,910,2.294
2020,B,910,0.305
2009,B,990,0.002
2010,B,990,0.015
2011,B,990,0.061
2012,B,990,0.026
2014,B,990,0.0
2018,B,990,0.0
2019,B,990,0.011
2020,B,990,0.006
2009,C,1010,0.001
2010,C,1010,0.004
2011,C,1010,0.0
2012,C,1010,0.0
2013,C,1010,0.0
2014,C,1010,0.0
2015,C,1010,0.0
2016,C,1010,0.0
2017,C,1010,0.001
2018,C,1010,0.0
2019,C,1010,0.0
2009,C,1011,0.14
2010,C,1011,0.315
2011,C,1011,0.498
2012,C,1011,0.373
2013,C,1011,0.018
2014,C,1011,0.255
2015,C,1011,0.435
2016,C,1011,0.39
2017,C,1011,0.437
2018,C,1011,0.049
2019,C,1011,0.061
2020,C,1011,0.066
2009,C,1012,0.047
2010,C,1012,0.451
2011,C,1012,0.175
2012,C,1012,0.145
2013,C,1012,0.17
2014,C,1012,0.17
2015,C,1012,0.173
2016,C,1012,0.033
2017,C,1012,0.024
2018,C,1012,0.046
2019,C,1012,0.098
2020,C,1012,0.125
2009,C,1013,0.12
2010,C,1013,0.088
2011,C,1013,0.08
2012,C,1013,0.124
2013,C,1013,0.21
2014,C,1013,0.286
2015,C,1013,0.557
2016,C,1013,0.063
2017,C,1013,0.123
2018,C,1013,0.039
2019,C,1013,0.238
2020,C,1013,0.227
2009,C,1020,0.04
2010,C,1020,0.13
2011,C,1020,0.047
2012,C,1020,0.061
2013,C,1020,0.054
2014,C,1020,0.208
2015,C,1020,0.123
2016,C,1020,0.122
2017,C,1020,0.153
2018,C,1020,0.127
2019,C,1020,0.064
2020,C,1020,0.072
2009,C,1030,0.001
2010,C,1030,0.001
2011,C,1030,0.0
2014,C,1030,0.001
2015,C,1030,0.001
2016,C,1030,0.001
2017,C,1030,0.001
2018,C,1030,0.0
2009,C,1031,0.032
2010,C,1031,0.023
2011,C,1031,0.012
2012,C,1031,0.019
2013,C,1031,0.022
2014,C,1031,0.036
2015,C,1031,0.027
2016,C,1031,0.058
2017,C,1031,0.056
2018,C,1031,0.041
2019,C,1031,0.033
2020,C,1031,0.033
2009,C,1032,0.002
2010,C,1032,0.003
2011,C,1032,0.001
2012,C,1032,0.003
2013,C,1032,0.003
2014,C,1032,0.0
2016,C,1032,0.002
2017,C,1032,0.017
2018,C,1032,0.005
2019,C,1032,0.003
2020,C,1032,0.004
2009,C,1039,0.427
2010,C,1039,0.554
2011,C,1039,0.58
2012,C,1039,0.93
2013,C,1039,0.119
2014,C,1039,0.384
2015,C,1039,0.208
2016,C,1039,1.448
2017,C,1039,1.891
2018,C,1039,0.112
2019,C,1039,0.383
2020,C,1039,0.349
2009,C,1041,0.128
2010,C,1041,0.211
2011,C,1041,0.212
2012,C,1041,0.17
2013,C,1041,0.553
2014,C,1041,0.335
2015,C,1041,0.25
2016,C,1041,0.286
2017,C,1041,0.404
2018,C,1041,0.215
2019,C,1041,0.167
2020,C,1041,0.399
2009,C,1042,0.023
2010,C,1042,0.043
2011,C,1042,0.018
2012,C,1042,0.023
2013,C,1042,0.064
2014,C,1042,0.037
2015,C,1042,0.046
2016,C,1042,0.087
2017,C,1042,0.101
2018,C,1042,0.04
2019,C,1042,0.037
2020,C,1042,0.047
2009,C,1050,0.0
2011,C,1050,0.004
2012,C,1050,0.013
2013,C,1050,0.011
2014,C,1050,0.009
2015,C,1050,0.013
2016,C,1050,0.014
2017,C,1050,0.004
2018,C,1050,0.004
2019,C,1050,0.008
2020,C,1050,0.017
2009,C,1051,1.356
2010,C,1051,1.233
2011,C,1051,1.861
2012,C,1051,1.528
2013,C,1051,1.595
2014,C,1051,2.09
2015,C,1051,3.447
2016,C,1051,2.074
2017,C,1051,2.85
2018,C,1051,1.47
2019,C,1051,1.571
2020,C,1051,1.655
2009,C,1052,0.098
2010,C,1052,0.017
2011,C,1052,0.005
2012,C,1052,0.043
2013,C,1052,0.005
2014,C,1052,0.007
2015,C,1052,0.007
2016,C,1052,0.052
2017,C,1052,0.011
2018,C,1052,0.008
2019,C,1052,0.006
2020,C,1052,0.01
2009,C,1061,0.64
2010,C,1061,0.671
2011,C,1061,1.223
2012,C,1061,0.88
2013,C,1061,0.861
2014,C,1061,1.717
2015,C,1061,1.196
2016,C,1061,0.597
2017,C,1061,0.893
2018,C,1061,0.528
2019,C,1061,0.355
2020,C,1061,0.462
2010,C,1062,0.0
2011,C,1062,0.048
2012,C,1062,0.012
2013,C,1062,0.023
2014,C,1062,0.0
2015,C,1062,0.0
2016,C,1062,0.002
2017,C,1062,0.001
2018,C,1062,0.001
2019,C,1062,0.0
2020,C,1062,0.001
2009,C,1071,0.212
2010,C,1071,0.177
2011,C,1071,0.258
2012,C,1071,0.125
2013,C,1071,0.178
2014,C,1071,0.16
2015,C,1071,0.076
2016,C,1071,0.282
2017,C,1071,0.283
2018,C,1071,0.069
2019,C,1071,0.063
2020,C,1071,0.063
2009,C,1072,0.011
2010,C,1072,0.03
2011,C,1072,0.02
2012,C,1072,0.03
2013,C,1072,0.028
2014,C,1072,0.039
2015,C,1072,0.118
2016,C,1072,0.052
2017,C,1072,0.054
2018,C,1072,0.068
2019,C,1072,0.05
2020,C,1072,0.103
2009,C,1073,0.158
2010,C,1073,0.293
2011,C,1073,0.189
2012,C,1073,0.196
2013,C,1073,0.09
2014,C,1073,0.095
2015,C,1073,0.124
2016,C,1073,0.156
2017,C,1073,0.184
2018,C,1073,0.066
2019,C,1073,0.064
2020,C,1073,0.076
2009,C,1081,0.101
2010,C,1081,0.235
2011,C,1081,0.302
2012,C,1081,0.551
2013,C,1081,0.277
2014,C,1081,0.393
2015,C,1081,0.25
2016,C,1081,0.412
2017,C,1081,0.918
2018,C,1081,0.18
2019,C,1081,0.086
2020,C,1081,0.126
2009,C,1082,0.121
2010,C,1082,0.172
2011,C,1082,0.093
2012,C,1082,0.12
2013,C,1082,0.142
2014,C,1082,0.432
2015,C,1082,0.354
2016,C,1082,0.276
2017,C,1082,0.874
2018,C,1082,0.195
2019,C,1082,0.196
2020,C,1082,0.172
2009,C,1083,0.005
2010,C,1083,0.004
2011,C,1083,0.002
2012,C,1083,0.002
2013,C,1083,0.007
2014,C,1083,0.007
2015,C,1083,0.005
2016,C,1083,0.013
2017,C,1083,0.031
2018,C,1083,0.017
2019,C,1083,0.01
2020,C,1083,0.003
2009,C,1084,0.008
2010,C,1084,0.008
2011,C,1084,0.008
2012,C,1084,0.01
2013,C,1084,0.009
2014,C,1084,0.008
2015,C,1084,0.005
2016,C,1084,0.006
2017,C,1084,0.009
2018,C,1084,0.008
2019,C,1084,0.004
2020,C,1084,0.005
2009,C,1085,0.002
2010,C,1085,0.002
2011,C,1085,0.001
2012,C,1085,0.001
2013,C,1085,0.002
2014,C,1085,0.008
2015,C,1085,0.012
2016,C,1085,0.003
2017,C,1085,0.003
2018,C,1085,0.004
2019,C,1085,0.002
2020,C,1085,0.002
2009,C,1086,0.001
2010,C,1086,0.002
2011,C,1086,0.0
2012,C,1086,0.0
2013,C,1086,0.0
2016,C,1086,0.0
2017,C,1086,0.004
2018,C,1086,0.003
2019,C,1086,0.002
2009,C,1089,4.971
2010,C,1089,12.906
2011,C,1089,7.716
2012,C,1089,9.716
2013,C,1089,10.096
2014,C,1089,12.021
2015,C,1089,10.966
2016,C,1089,11.366
2017,C,1089,9.222
2018,C,1089,10.0
2019,C,1089,7.121
2020,C,1089,8.325
2015,C,1090,0.002
2016,C,1090,0.002
2009,C,1091,0.065
2010,C,1091,0.149
2011,C,1091,0.098
2012,C,1091,0.068
2013,C,1091,0.074
2014,C,1091,0.095
